"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym oraz w głosowaniu korespondencyjnym (łącznie)";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KOMITET WYBORCZY NOWA LEWICA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KOMITET WYBORCZY POLSKA JEST JEDNA";"KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU";"KOMITET WYBORCZY NORMALNY KRAJ";"KOMITET WYBORCZY ANTYPARTIA";"KOMITET WYBORCZY RUCH NAPRAWY POLSKI";"KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA"
"dolnośląskie";2291;2291;2056334;2199540;429059;1627165;958;1628123;2887;32586;907;84;10;7;11;796;1627724;797;684;1627040;25756;15137;10619;0;1601284;44968;199797;161610;489339;105380;576441;23749;;;;;
"kujawsko-pomorskie";1917;1917;1419251;1524993;324989;1094289;702;1094991;1984;20454;665;69;6;6;6;579;1094668;581;425;1094243;22727;13140;8525;1062;1071516;16663;164734;113432;345734;68498;345633;14556;2266;;;;
"lubelskie";2181;2181;1511058;1596635;385115;1125877;625;1126502;2998;17120;584;40;8;1;5;532;1126158;530;378;1125780;20561;11398;7970;1193;1105219;19866;162471;62774;526729;89919;211213;27822;4425;;;;
"lubuskie";883;883;693385;741917;163763;529580;334;529914;824;10170;314;27;3;2;7;276;529743;276;263;529480;12439;7294;3990;1155;517041;11954;77933;47911;143530;33672;195091;5794;;;1156;;
"łódzkie";1927;1927;1741622;1853511;329882;1411758;765;1412523;2670;20107;693;76;8;7;2;608;1411732;608;755;1410977;24478;12676;9861;1941;1386499;22874;186075;122298;528393;92058;411648;18691;4462;;;;
"małopolskie";2715;2715;2459889;2628704;478236;1981378;1390;1982768;3711;36751;1322;98;11;9;13;1197;1982113;1193;645;1981468;28392;15536;11657;1199;1953076;34112;306994;135415;814758;156731;458701;46365;;;;;
"mazowieckie";3926;3926;3909427;4152672;603130;3292564;2018;3294582;5499;79624;1865;136;6;10;16;1702;3293671;2747;1690;3291981;43116;23247;18651;1218;3248865;59366;481728;275543;1132523;226425;1023353;46092;1968;1044;;823;
"opolskie";1021;1021;689329;737189;198560;490668;304;490972;914;6444;280;32;2;2;2;244;490788;244;158;490630;10662;6860;3802;0;479968;7521;61155;34763;150022;31150;161241;8338;;;;;25778
"podkarpackie";1928;1928;1543420;1618355;410939;1132639;612;1133251;2917;17597;582;41;3;0;4;534;1132933;534;343;1132590;16818;9873;6945;0;1115772;19467;144614;52578;589478;101934;189313;16169;2219;;;;
"podlaskie";1066;1066;829171;881094;209563;619537;360;619897;1394;15150;335;33;5;1;3;295;619669;295;247;619422;10178;5119;4087;972;609244;7081;114898;29478;258277;59648;126971;9998;2893;;;;
"pomorskie";1692;1692;1622713;1753089;302052;1320401;793;1321194;2068;28401;750;82;10;3;4;653;1320641;654;826;1319815;20629;11168;8219;1242;1299186;19955;183392;114854;355027;87609;515918;22431;;;;;
"śląskie";2868;2868;3107491;3325088;628149;2479053;1871;2480924;4643;34199;1767;204;12;4;19;1530;2480069;1529;1728;2478341;35922;19317;15071;1534;2442419;45470;318728;253043;818166;170378;784220;51172;;1242;;;
"świętokrzyskie";1202;1202;890164;946053;217449;672672;365;673037;1512;12070;340;28;5;0;3;304;672872;303;283;672589;13457;7088;5300;1069;659132;18961;90975;45048;310266;43197;137941;9090;2310;1344;;;
"warmińsko-mazurskie";1293;1293;989176;1044565;279736;709327;421;709748;1293;13248;401;37;3;1;4;356;709591;356;286;709305;18867;11183;6120;1564;690438;12050;109108;55900;231805;46709;224749;9141;;976;;;
"wielkopolskie";2781;2781;2485168;2645598;471389;2013946;950;2014896;2981;26284;895;70;6;0;8;811;2014274;810;1063;2013211;42428;24950;14424;3054;1970783;40140;328953;191706;593575;130598;662463;21213;2135;;;;
"zachodniopomorskie";1382;1382;1165793;1247083;270390;895129;484;895613;1688;28498;436;30;6;5;5;392;895226;392;269;894957;18500;11664;6836;0;876457;14249;109733;80133;260598;52321;347052;10199;2172;;;;
